Xp,Yp,Zp
405033.5,5015681.5,237.350006103516
405033.25,5015681.5,237.350006103516
405033,5015681.5,237.339996337891
405035.6875,5015681,237.220001220703
405035.4375,5015681,237.220001220703
405035.21875,5015681,237.240005493164
405033.5625,5015681.5,237.360000610352
405033.96875,5015681.5,237.309997558594
405034.03125,5015681.5,237.220001220703
405034.6875,5015681,237.270004272461
405034.90625,5015681,237.240005493164
405033.84375,5015681.5,237.240005493164
405034.03125,5015681.5,237.259994506836
405033.28125,5015682,237.240005493164
405032.875,5015681.5,237.289993286133
405033.03125,5015681.5,237.300003051758
405033.21875,5015682,237.279998779297
405033.40625,5015682,237.270004272461
405034.46875,5015681,237.160003662109
405033.71875,5015681.5,237.199996948242
405033.90625,5015681.5,237.199996948242
405033.46875,5015681.5,237.220001220703
405033.625,5015681.5,237.210006713867
405035.03125,5015681,237.169998168945
405035.1875,5015681,237.169998168945
405035.3125,5015681,237.190002441406
405035.5,5015681,237.179992675781
405035.65625,5015681,237.190002441406
