Xp,Yp,Zp
405201.25,5015385.5,235.830001831055
405200.8125,5015386,235.839996337891
405200.5625,5015386,235.830001831055
405200.3125,5015386,235.809997558594
405200.875,5015386.5,235.75
405200.65625,5015386.5,235.809997558594
405200.9375,5015386.5,235.839996337891
405200.71875,5015386.5,235.830001831055
405200.4375,5015386,235.820007324219
405200.1875,5015386,235.820007324219
405201.125,5015386.5,235.860000610352
405200.875,5015386.5,235.839996337891
405200.15625,5015386,235.830001831055
405201.09375,5015385.5,235.770004272461
405200.4375,5015385,235.759994506836
405200.84375,5015385.5,235.740005493164
405200.375,5015385.5,235.759994506836
405200.5625,5015385.5,235.779998779297
405200.1875,5015385.5,235.729995727539
405200.40625,5015386,235.779998779297
405200.59375,5015386,235.809997558594
405200.8125,5015386,235.839996337891
405201.03125,5015386.5,235.779998779297
405201.25,5015386.5,235.779998779297
405200.28125,5015386,235.699996948242
405200.46875,5015386.5,235.820007324219
405200.6875,5015386.5,235.75
405200.90625,5015386.5,235.770004272461
405200.8125,5015387,235.779998779297
405201,5015387,235.800003051758
405201.3125,5015386,235.75
405200.375,5015385,235.759994506836
405200.78125,5015385.5,235.770004272461
405201,5015385.5,235.770004272461
405201.21875,5015386,235.789993286133
405201.0625,5015386,235.729995727539
405201.25,5015386,235.779998779297
405201.125,5015385.5,235.789993286133
405200.90625,5015385.5,235.800003051758
405201.125,5015385.5,235.850006103516
405200.9375,5015385.5,235.850006103516
405200.6875,5015385.5,235.789993286133
405201.125,5015386,235.779998779297
405200.90625,5015386,235.789993286133
405200.6875,5015386,235.770004272461
405201.125,5015386,235.800003051758
405200.90625,5015386,235.789993286133
