Xp,Yp,Zp
405153.09375,5015408.5,236.699996948242
405153.0625,5015409,236.600006103516
405153.03125,5015409,236.610000610352
405152.9375,5015409.5,236.509994506836
405152.96875,5015409.5,236.580001831055
405153.15625,5015409.5,236.580001831055
405153.03125,5015409.5,236.600006103516
405153.25,5015409.5,236.610000610352
405152.96875,5015409,236.509994506836
405153.1875,5015409.5,236.490005493164
405153.09375,5015409,236.479995727539
405153.28125,5015409.5,236.440002441406
405153,5015408.5,236.5
405153.0625,5015409.5,236.440002441406
405153.28125,5015409.5,236.429992675781
405152.9375,5015409.5,236.529998779297
405153.1875,5015409.5,236.479995727539
405152.96875,5015409.5,236.509994506836
405153,5015409.5,236.509994506836
