Xp,Yp,Zp
405138.46875,5015350,236.149993896484
405136.65625,5015349,236.199996948242
405138.78125,5015351,236.149993896484
405138.46875,5015351,236.100006103516
405138,5015351,236.889999389648
405137.25,5015350.5,236.259994506836
405137,5015350,236.300003051758
405136.75,5015350,236.289993286133
405136.25,5015350,236.289993286133
405138.625,5015351.5,236.089996337891
405138.375,5015351.5,236.119995117188
405138.125,5015351.5,236.139999389648
405137.875,5015351.5,236.139999389648
405137.59375,5015351,236.149993896484
405137.34375,5015351,236.160003662109
405136.3125,5015350.5,236.190002441406
405138.875,5015351.5,236.089996337891
405138.59375,5015351.5,236.070007324219
405138.375,5015351.5,236.080001831055
405138.21875,5015351.5,236.449996948242
405138.09375,5015351,236.809997558594
405137.71875,5015351,236.5
405138.59375,5015351.5,236.169998168945
405138.3125,5015351.5,236.149993896484
405138.0625,5015351.5,236.169998168945
405137.8125,5015351,236.190002441406
405137.5625,5015351,236.220001220703
405137.3125,5015351,236.229995727539
405136.28125,5015350.5,236.289993286133
405138.84375,5015351.5,236.149993896484
405136.90625,5015352,236.339996337891
405136.65625,5015351.5,236.369995117188
405136.40625,5015351.5,236.389999389648
405136.1875,5015351.5,236.449996948242
405135.9375,5015351.5,236.470001220703
405136.75,5015352.5,236.389999389648
405136.8125,5015352.5,236.550003051758
405138.90625,5015350,236.259994506836
405136.6875,5015349,236.149993896484
405136.875,5015349,236.119995117188
405138.46875,5015350,236.089996337891
405138.65625,5015350.5,236.179992675781
405138.84375,5015350.5,236.210006713867
405136.59375,5015349,236.110000610352
405136.8125,5015349,236.110000610352
405138.59375,5015350.5,236.119995117188
405138.78125,5015350.5,236.139999389648
405136.53125,5015349,236.130004882812
405136.75,5015349,236.149993896484
405138.53125,5015350.5,236.070007324219
405138.71875,5015350.5,236.100006103516
405138.90625,5015350.5,236.160003662109
405138.40625,5015350.5,236.080001831055
405138.59375,5015351,236.080001831055
405138.8125,5015351,236.119995117188
405136.8125,5015349.5,236.25
405137,5015349.5,236.25
405137.1875,5015350,236.190002441406
405136.1875,5015349.5,236.25
405136.78125,5015350,236.289993286133
405137.1875,5015350.5,236.199996948242
405137.75,5015351,236.190002441406
405137.875,5015351,236.850006103516
405138,5015351,236.080001831055
405138.375,5015351.5,236.070007324219
405138.40625,5015351.5,237.309997558594
405138.59375,5015351.5,236.059997558594
405138.78125,5015351.5,236.070007324219
405136.15625,5015350.5,236.179992675781
405136.375,5015350.5,236.220001220703
405137.15625,5015351,236.169998168945
405137.375,5015351,236.139999389648
405137.59375,5015351.5,236.059997558594
405137.78125,5015351.5,236.039993286133
405137.96875,5015351.5,236.179992675781
405137.9375,5015351.5,237.759994506836
405138.125,5015352,236.330001831055
405138.34375,5015352,236.179992675781
405136.15625,5015350.5,236.179992675781
405136.375,5015350.5,236.199996948242
405137.1875,5015351,236.190002441406
405137.375,5015351.5,236.089996337891
405137.59375,5015351.5,236.050003051758
405137.625,5015351.5,237.139999389648
405137.78125,5015351.5,236
405138.1875,5015352,236.070007324219
405136.28125,5015350.5,236.190002441406
405137.25,5015351,236.179992675781
405137.46875,5015351.5,236.089996337891
405137.65625,5015351.5,236.070007324219
405137.875,5015351.5,236.070007324219
405138.03125,5015351.5,236.25
405138.25,5015352,236.240005493164
405136.125,5015350.5,236.220001220703
405136.34375,5015351,236.210006713867
405136.53125,5015351,236.270004272461
405137.125,5015351.5,236.309997558594
405137.34375,5015351.5,236.149993896484
405138.125,5015352,236.050003051758
405135.9375,5015351.5,236.369995117188
405136.15625,5015351.5,236.360000610352
405136.375,5015351.5,236.309997558594
405136.5625,5015352,236.270004272461
405136.78125,5015352,236.25
405136.96875,5015352,236.25
405136.03125,5015351.5,236.410003662109
405136.40625,5015352,236.419998168945
405136.625,5015352,236.369995117188
405136.8125,5015352.5,236.369995117188
405136,5015351.5,236.389999389648
405136.40625,5015352,236.369995117188
405136.625,5015352,236.270004272461
405136.8125,5015352,236.320007324219
405136.78125,5015352.5,236.429992675781
405136.375,5015352,236.479995727539
405136.59375,5015352.5,236.440002441406
405136.65625,5015352.5,236.520004272461
405136.75,5015352.5,237.410003662109
405138.78125,5015350.5,236.190002441406
405136.84375,5015349,236
405138.40625,5015350.5,236.130004882812
405138.625,5015351,236.130004882812
405138.84375,5015351,236.139999389648
405138.46875,5015350,237
405138.875,5015350.5,236.210006713867
405138.40625,5015350,236.029998779297
405138.625,5015350.5,236.050003051758
405138.875,5015350.5,236.110000610352
405136.625,5015349.5,235.910003662109
405136.875,5015350,235.910003662109
405137.09375,5015350,235.919998168945
405137.75,5015351,235.979995727539
405137.96875,5015351,236
405138.40625,5015351.5,235.990005493164
405138.65625,5015351.5,236.070007324219
405136.125,5015351,235.979995727539
405136.375,5015351.5,235.990005493164
405136.59375,5015351.5,236
405136.8125,5015352,235.979995727539
405137.03125,5015352,236.029998779297
405136.0625,5015351.5,236.050003051758
405136.5,5015352,235.979995727539
405136.75,5015352.5,236.070007324219
405136.9375,5015352.5,235.960006713867
405136.625,5015352.5,236.860000610352
405138.625,5015351.5,236.110000610352
405138.40625,5015351.5,236.070007324219
405138.21875,5015351.5,236.050003051758
405138,5015351,236.059997558594
405137.78125,5015351,236.070007324219
405137.15625,5015350,236.029998779297
405136.9375,5015350,235.979995727539
405136.75,5015350,235.990005493164
405136.21875,5015349.5,236.580001831055
405136.3125,5015349.5,235.990005493164
405138.4375,5015351.5,236.100006103516
405138.25,5015351.5,236.080001831055
405138.0625,5015351.5,236.059997558594
405137.84375,5015351,236.100006103516
405137.625,5015351,236.070007324219
405137.1875,5015350.5,236.050003051758
405137,5015350,236.020004272461
405136.78125,5015350,236.009994506836
405138.59375,5015351.5,236.119995117188
405138.375,5015351.5,236.100006103516
405137.96875,5015351,236.130004882812
405137.125,5015350,236.050003051758
405136.9375,5015350,235.990005493164
405136.71875,5015349.5,235.990005493164
405137.375,5015351.5,236.25
405137.15625,5015351.5,236.160003662109
405136.96875,5015351.5,236.110000610352
405136.5625,5015351,236.009994506836
405136.375,5015350.5,236.009994506836
