Xp,Yp,Zp
405100.40625,5015252.5,235.660003662109
405100.59375,5015252.5,235.669998168945
405100.8125,5015252.5,235.639999389648
405101,5015253,235.600006103516
405101.1875,5015253,235.610000610352
405101.375,5015253,235.610000610352
405100.40625,5015253,235.660003662109
405100.59375,5015253,235.660003662109
405100.78125,5015253.5,235.660003662109
405101,5015253.5,235.630004882812
405101.1875,5015253.5,235.619995117188
405100.15625,5015253.5,235.660003662109
405100.34375,5015253.5,235.649993896484
405100.75,5015254,235.690002441406
405100.90625,5015254,235.669998168945
405100.78125,5015252.5,235.610000610352
405101.03125,5015253,235.600006103516
405101.25,5015253,235.580001831055
405101.5,5015253,235.580001831055
405100.3125,5015253.5,235.550003051758
405100.53125,5015253.5,235.570007324219
405100.8125,5015254,235.630004882812
405100.71875,5015254,237.880004882812
405100.46875,5015253,235.580001831055
405100.71875,5015253.5,235.600006103516
405100.96875,5015253.5,235.600006103516
405100.8125,5015252.5,235.539993286133
405101.28125,5015253,235.520004272461
405101.5,5015253,235.539993286133
405101.4375,5015253,235.619995117188
405101.25,5015253,235.600006103516
405101.03125,5015253,235.580001831055
405100.8125,5015252.5,235.600006103516
405100.625,5015252.5,235.600006103516
405101.5,5015253,235.649993896484
405100.90625,5015252.5,235.580001831055
405100.78125,5015254,235.649993896484
405100.5625,5015253.5,235.639999389648
405100.375,5015253.5,235.619995117188
