Xp,Yp,Zp
404967.59375,5015860,239.070007324219
404966.84375,5015860.5,239.179992675781
404966.625,5015860.5,239.169998168945
404966.1875,5015860,239.25
404966.6875,5015860.5,239.130004882812
404967.0625,5015860,239.110000610352
404967.25,5015860,239.100006103516
404967.46875,5015860,239.119995117188
404967.53125,5015860,239.080001831055
404966.875,5015860,239.160003662109
404967.125,5015860,239.160003662109
404967.34375,5015860.5,239.139999389648
404967.34375,5015860,238.899993896484
404966.875,5015860,238.940002441406
404966.84375,5015860,239.179992675781
404967,5015860,239.149993896484
404967.34375,5015860.5,239.119995117188
404966.90625,5015860,239.130004882812
404967.09375,5015860.5,239.100006103516
404967.25,5015860.5,239.110000610352
404966.625,5015860,239.229995727539
404966.78125,5015860,239.179992675781
404967.1875,5015860,239.149993896484
404967.34375,5015860,239.130004882812
404967.5,5015860.5,239.089996337891
404967.125,5015860,239.160003662109
404967.3125,5015860,239.149993896484
404967.46875,5015860.5,239.130004882812
