Xp,Yp,Zp
405121.90625,5015828,238.889999389648
405121.6875,5015828,238.850006103516
405121.03125,5015827.5,238.789993286133
405122.4375,5015828,238.770004272461
405122.25,5015828,238.759994506836
405122,5015828,238.850006103516
405121.8125,5015827.5,238.889999389648
405121.59375,5015827.5,238.880004882812
405121.34375,5015827.5,238.809997558594
405121.125,5015827.5,238.779998779297
405122.09375,5015828,238.860000610352
405121.875,5015828,238.910003662109
405121.65625,5015828,238.880004882812
405121.25,5015827.5,238.789993286133
405121,5015827.5,238.789993286133
405122.34375,5015828,238.779998779297
405122.125,5015828,238.789993286133
405121.90625,5015828,238.889999389648
405121.6875,5015827.5,238.910003662109
405121.46875,5015827.5,238.889999389648
405121.25,5015827.5,238.820007324219
405121.03125,5015827,238.789993286133
405122.96875,5015827,238.770004272461
405122.71875,5015827,238.699996948242
405122.5,5015827,238.679992675781
405122.3125,5015826.5,238.729995727539
405122.09375,5015826.5,238.75
405121.875,5015826.5,238.770004272461
405121.625,5015826.5,238.809997558594
405123.09375,5015826.5,238.789993286133
405122.875,5015826.5,238.740005493164
405123.125,5015826.5,238.789993286133
405121.78125,5015828,238.389999389648
405122.96875,5015827.5,238.539993286133
405122.5625,5015827.5,238.529998779297
405122.09375,5015827.5,238.429992675781
405121.6875,5015827,238.470001220703
405121.3125,5015827,238.479995727539
405122.96875,5015826.5,238.529998779297
405122.53125,5015826.5,238.5
405121.6875,5015826.5,238.820007324219
405121.875,5015827,238.809997558594
405122.03125,5015827,238.789993286133
405122.1875,5015827.5,238.75
405122.375,5015827.5,238.720001220703
405122.53125,5015827.5,238.789993286133
405121.03125,5015827,238.839996337891
405121.21875,5015827,238.869995117188
405121.375,5015827.5,238.869995117188
405121.5625,5015827.5,238.850006103516
405121.71875,5015828,238.830001831055
405121.875,5015828,238.820007324219
405122.0625,5015828,238.830001831055
405121.75,5015826.5,238.809997558594
405121.90625,5015827,238.789993286133
405122.09375,5015827,238.759994506836
405122.25,5015827.5,238.710006713867
405122.40625,5015827.5,238.729995727539
405122.5625,5015827.5,238.770004272461
405122.28125,5015826.5,238.800003051758
405122.46875,5015826.5,238.759994506836
405122.625,5015827,238.809997558594
405122.8125,5015827,238.850006103516
405122.96875,5015827,238.850006103516
405121.59375,5015827,238.820007324219
405121.75,5015827,238.800003051758
405121.90625,5015827.5,238.779998779297
405122.09375,5015827.5,238.770004272461
405122.25,5015828,238.789993286133
405122.4375,5015828,238.779998779297
