Xp,Yp,Zp
405134.59375,5015461.5,236.910003662109
405134.6875,5015461.5,236.979995727539
405135.75,5015462,237.190002441406
405135.5,5015462,237.110000610352
405134.9375,5015462.5,236.960006713867
405134.71875,5015462,237.020004272461
405134.46875,5015462,237
405135.5625,5015462,237.029998779297
405135.28125,5015462,236.960006713867
405134.78125,5015461.5,236.910003662109
405135.625,5015462,237.059997558594
405135.375,5015461.5,236.979995727539
405134.84375,5015461.5,236.910003662109
405134.59375,5015462.5,237.009994506836
405135.53125,5015461.5,237.039993286133
405135.71875,5015461.5,237.119995117188
405134.59375,5015462,236.979995727539
405134.8125,5015462.5,236.940002441406
405135.03125,5015462.5,236.960006713867
405134.4375,5015462,236.960006713867
405134.625,5015462,236.940002441406
405134.84375,5015462,236.929992675781
405135.0625,5015462.5,236.949996948242
405134.46875,5015462,237.029998779297
405134.9375,5015462.5,236.970001220703
405135.71875,5015461.5,236.360000610352
405135.6875,5015462,236.339996337891
405135.34375,5015462,236.360000610352
405134.875,5015461.5,236.300003051758
405135.46875,5015461.5,236.910003662109
405135.6875,5015462,236.970001220703
405135.59375,5015462,237.039993286133
405135.375,5015461.5,236.979995727539
405134.5625,5015462.5,236.929992675781
