Xp,Yp,Zp
404890.6875,5015983,240.259994506836
404891.34375,5015983.5,240.259994506836
404891.0625,5015983.5,240.279998779297
404891.28125,5015983.5,240.339996337891
404891.71875,5015984,240.320007324219
404890.40625,5015983.5,240.25
404890.625,5015984,240.259994506836
404890.84375,5015984,240.300003051758
404891,5015984,240.449996948242
404891.25,5015984,240.399993896484
404891.15625,5015984,241.559997558594
404891.5,5015984.5,240.380004882812
404890.4375,5015985,240.360000610352
404890.875,5015985,240.360000610352
404890.71875,5015984.5,240.330001831055
404890.9375,5015984.5,240.360000610352
404890.09375,5015985.5,240.440002441406
404891.71875,5015984,240.240005493164
404890.6875,5015983,240.259994506836
404891.03125,5015983.5,240.279998779297
404891.1875,5015983.5,240.300003051758
404891.375,5015984,240.279998779297
404891.5625,5015984,240.270004272461
404890.65625,5015984.5,240.289993286133
404890.84375,5015984.5,240.380004882812
404891,5015985,240.330001831055
404890.65625,5015984,240.229995727539
404890.8125,5015984.5,240.25
404891,5015984.5,240.419998168945
404891.1875,5015984.5,240.300003051758
404890.625,5015983.5,240.25
404890.78125,5015983.5,240.259994506836
404890.96875,5015984,240.25
404891.125,5015984,240.229995727539
404891.3125,5015984.5,240.270004272461
404891.5,5015984.5,240.289993286133
404890.6875,5015984.5,240.270004272461
404890.875,5015984.5,240.289993286133
404891.03125,5015985,240.330001831055
404890.15625,5015985.5,240.380004882812
404890.125,5015985.5,240.350006103516
