Xp,Yp,Zp
405121.125,5015568,237.490005493164
405120.90625,5015568,237.479995727539
405120.65625,5015568,237.509994506836
405120.375,5015568,237.360000610352
405120.15625,5015567.5,237.350006103516
405119.875,5015567.5,237.309997558594
405119.65625,5015567.5,237.229995727539
405119.375,5015567.5,237.160003662109
405119.15625,5015567,237.020004272461
405118.875,5015567,236.970001220703
405118.625,5015567,236.910003662109
405118.375,5015566.5,236.869995117188
405119.4375,5015565.5,236.759994506836
405119.21875,5015565.5,236.720001220703
405118.96875,5015565,236.699996948242
405119.5,5015565.5,236.699996948242
405119.25,5015565,236.699996948242
405119.40625,5015565.5,236.759994506836
405119.1875,5015565.5,236.740005493164
405118.9375,5015565,236.710006713867
405118.53125,5015566,236.919998168945
405118.71875,5015566.5,236.960006713867
405118.90625,5015566.5,237
405119.125,5015566.5,237.050003051758
405119.3125,5015567,237.169998168945
405119.5,5015567,237.229995727539
405120.09375,5015567.5,237.429992675781
405120.28125,5015567.5,237.470001220703
405120.71875,5015568,237.529998779297
405120.90625,5015568,237.589996337891
405121.125,5015568,237.559997558594
405121.34375,5015568,237.610000610352
405118.4375,5015567,237.029998779297
405118.625,5015567.5,237.080001831055
405118.8125,5015567.5,237.160003662109
405119,5015567.5,237.199996948242
405118.40625,5015566.5,236.929992675781
405118.59375,5015566.5,236.979995727539
405118.8125,5015567,237.029998779297
405119,5015567,237.070007324219
405119.1875,5015567,237.149993896484
405119.375,5015567.5,237.25
405119.59375,5015567.5,237.270004272461
405119.8125,5015567.5,237.330001831055
405119.96875,5015567.5,237.470001220703
405120.40625,5015568,237.479995727539
405120.5625,5015568,237.669998168945
405118.875,5015565.5,236.839996337891
405119.09375,5015565.5,236.869995117188
405119.28125,5015565.5,236.910003662109
405119.5,5015566,236.970001220703
405121.78125,5015567.5,238.070007324219
405121.96875,5015567.5,238.119995117188
405122.1875,5015567.5,238.110000610352
405122.40625,5015568,238.039993286133
405122.65625,5015568,237.979995727539
405122.5625,5015568,239.899993896484
405118.4375,5015566.5,236.940002441406
405118.625,5015567,237.020004272461
405118.84375,5015567,237.070007324219
405119.03125,5015567,237.100006103516
405119.21875,5015567,237.179992675781
405119.40625,5015567.5,237.300003051758
405119.625,5015567.5,237.279998779297
405119.8125,5015567.5,237.339996337891
405119.96875,5015567.5,237.509994506836
405120.21875,5015568,237.479995727539
405120.4375,5015568,237.5
405120.59375,5015568,237.679992675781
405121.8125,5015568,237.199996948242
405121.46875,5015568,237.300003051758
405118.46875,5015566,236.580001831055
405120.1875,5015567.5,239.75
405122.5625,5015567.5,237.25
405121.96875,5015567.5,236.979995727539
405118.65625,5015567.5,236.899993896484
405120.90625,5015568,238.410003662109
405121.0625,5015568,238.350006103516
405118.78125,5015565.5,236.660003662109
405119.03125,5015566,237.029998779297
405119.3125,5015566.5,237.410003662109
405120.75,5015568,238.119995117188
405120.9375,5015568,238.139999389648
405118.6875,5015566,236.75
405118.90625,5015566.5,236.850006103516
405119.21875,5015566.5,237.479995727539
405119.53125,5015567,238.119995117188
405119.90625,5015567.5,238.160003662109
405120.09375,5015567.5,238.119995117188
405120.25,5015568,238.070007324219
405120.4375,5015568,238.009994506836
405118.71875,5015567,236.850006103516
405118.90625,5015567,236.979995727539
405119.125,5015567.5,237.029998779297
405119.34375,5015567.5,237.190002441406
405121.8125,5015567.5,237.600006103516
405122,5015568,237.679992675781
405122.21875,5015568,237.770004272461
405122.28125,5015567.5,239.309997558594
405121.9375,5015567.5,237.570007324219
405122.125,5015567.5,237.559997558594
405122.34375,5015568,237.600006103516
405122.53125,5015568,237.639999389648
405121.59375,5015568,239.229995727539
405119.65625,5015565.5,238.300003051758
405119.34375,5015565.5,236.759994506836
405119.625,5015565.5,237.110000610352
405121.625,5015568,238.899993896484
405121.875,5015568,239.080001831055
405121.59375,5015568,238.259994506836
405122.46875,5015567.5,237.639999389648
405122.625,5015567.5,237.710006713867
405118.5625,5015567,236.860000610352
405118.375,5015567,236.779998779297
405118.4375,5015566.5,236.779998779297
405118.9375,5015567.5,237.029998779297
405118.78125,5015567.5,236.910003662109
405119.21875,5015567.5,237.100006103516
405119.03125,5015567.5,237
405118.84375,5015567,236.940002441406
405118.625,5015567,236.860000610352
405118.875,5015567.5,237.050003051758
405118.71875,5015567.5,236.899993896484
405118.53125,5015567,236.850006103516
405118.34375,5015567,236.789993286133
405119.53125,5015567.5,237.309997558594
405119.375,5015567.5,237.119995117188
405119.21875,5015567.5,236.990005493164
405119,5015567,236.910003662109
405118.8125,5015567,236.850006103516
405118.59375,5015566.5,236.779998779297
405118.40625,5015566.5,236.679992675781
405121.375,5015568,238.460006713867
405121.15625,5015568,238.429992675781
405119.625,5015566,237.729995727539
405119.5625,5015566,237.350006103516
405119.40625,5015565.5,237.070007324219
405119.3125,5015565.5,236.789993286133
405119.09375,5015565,236.690002441406
405122.59375,5015568,239.429992675781
405122.40625,5015567.5,237.800003051758
405122.28125,5015567.5,237.589996337891
405122.625,5015568,239.679992675781
405122.59375,5015567.5,237.770004272461
405122.375,5015567.5,237.759994506836
405122.59375,5015567.5,237.75
