Xp,Yp,Zp
405079.5625,5015781.5,238.190002441406
405079.3125,5015781.5,238.179992675781
405079.625,5015781.5,238.240005493164
405079.40625,5015781.5,238.229995727539
405079.1875,5015781.5,238.220001220703
405079.15625,5015781.5,238.289993286133
405079.5,5015781.5,238.240005493164
405079.34375,5015781.5,238.229995727539
405079.5,5015781.5,238.240005493164
405079.6875,5015781.5,238.25
405079.65625,5015781.5,238.240005493164
405079.8125,5015781.5,238.240005493164
405079.53125,5015781.5,238.240005493164
405079.6875,5015781.5,238.259994506836
405079.875,5015781.5,238.25
