Xp,Yp,Zp
405063.9375,5015093,235.119995117188
405063.96875,5015093.5,235.119995117188
405064.15625,5015093.5,235.070007324219
405064.34375,5015093.5,235.050003051758
405064,5015093,235.089996337891
405064.1875,5015093.5,235.059997558594
405064.375,5015093.5,235.020004272461
405063.9375,5015093,235.110000610352
405064.125,5015093.5,235.080001831055
405064.3125,5015093.5,235.039993286133
405063.9375,5015093.5,235.100006103516
405064.125,5015093.5,235.080001831055
405064.34375,5015094,235.039993286133
405063.875,5015093.5,235.089996337891
405064.03125,5015093.5,235.089996337891
405064.25,5015094,235.059997558594
405064.4375,5015094,235.039993286133
405063.96875,5015094,235.059997558594
405064.125,5015094,235.050003051758
405064.34375,5015094,235.059997558594
405064.53125,5015094.5,235.029998779297
405064.1875,5015094.5,235.059997558594
405064.375,5015094.5,235.029998779297
405064.53125,5015094.5,234.940002441406
405064.25,5015095,235.020004272461
405064.46875,5015095,235.020004272461
405064.65625,5015095,234.949996948242
405064.375,5015095,235.020004272461
405064.5625,5015095,234.929992675781
405064.75,5015095.5,235.059997558594
405064.375,5015093.5,234.770004272461
405064,5015093,234.869995117188
405064.3125,5015094,234.770004272461
405064.125,5015094,234.809997558594
405063.90625,5015093.5,234.850006103516
405064.3125,5015093.5,234.740005493164
405063.90625,5015093,234.869995117188
