Xp,Yp,Zp
405115.6875,5015795,238.410003662109
405115.65625,5015795,238.399993896484
405118.4375,5015794.5,238.360000610352
405118.21875,5015794.5,238.360000610352
405118,5015794.5,238.350006103516
405117.75,5015794,238.300003051758
405117.3125,5015795,238.289993286133
405116.65625,5015795,238.350006103516
405116.4375,5015794.5,238.360000610352
405116,5015794.5,238.339996337891
405118.46875,5015794.5,238.360000610352
405118.25,5015794.5,238.380004882812
405118.03125,5015794.5,238.360000610352
405117.8125,5015794,238.320007324219
405118.625,5015794,238.369995117188
405118.375,5015794,238.369995117188
405118.1875,5015794,238.360000610352
405117.9375,5015794,238.289993286133
405118.4375,5015794,238.389999389648
405118.21875,5015794,238.389999389648
405118,5015794,238.380004882812
405117.75,5015794,238.320007324219
405117.96875,5015795,238.160003662109
405117.125,5015794.5,238.100006103516
405116.71875,5015794.5,238.089996337891
405116.375,5015794.5,238.119995117188
405118.375,5015794,238.399993896484
405118.5625,5015794,238.389999389648
405118.65625,5015794,238.360000610352
405118.84375,5015794,238.320007324219
405116.78125,5015794.5,238.339996337891
405116.9375,5015794.5,238.309997558594
405117.28125,5015795,238.330001831055
405117.25,5015794.5,238.350006103516
405117.40625,5015794.5,238.350006103516
405117.78125,5015795,238.429992675781
405116.34375,5015795,238.429992675781
405116.5,5015795,238.389999389648
405116.65625,5015795,238.350006103516
405117.15625,5015794.5,238.330001831055
405117.3125,5015794.5,238.350006103516
405117.5,5015794.5,238.339996337891
405117.8125,5015795,238.429992675781
405117.3125,5015794.5,238.339996337891
405117.5,5015794.5,238.339996337891
405117.84375,5015795,238.419998168945
405118,5015795,238.399993896484
405116,5015794.5,238.429992675781
405115.8125,5015794.5,238.449996948242
405115.96875,5015795,238.429992675781
405116.15625,5015795,238.440002441406
405115.65625,5015795,238.380004882812
405115.8125,5015795,238.369995117188
405115.6875,5015795,238.399993896484
