Xp,Yp,Zp
404987.8125,5015904.5,239.399993896484
404987.5625,5015904.5,239.360000610352
404987.34375,5015904.5,239.300003051758
404987.09375,5015904.5,239.279998779297
404986.875,5015904,239.289993286133
404986.65625,5015904,239.240005493164
404987.84375,5015904.5,239.279998779297
404987.78125,5015904.5,240.320007324219
404987.625,5015904.5,239.300003051758
404987.40625,5015904.5,239.259994506836
404987.15625,5015904.5,239.25
404986.90625,5015904,239.25
404986.6875,5015904,239.220001220703
404988.03125,5015904.5,239.380004882812
404987.78125,5015904.5,239.300003051758
404987.125,5015904,239.259994506836
404986.875,5015904,239.240005493164
404987.40625,5015905,239.369995117188
404987.15625,5015905,239.339996337891
404986.90625,5015905,239.309997558594
404986.46875,5015904.5,239.300003051758
404986.875,5015904,238.889999389648
404987.15625,5015905,238.910003662109
404987.84375,5015904.5,239.369995117188
404988.03125,5015904.5,239.330001831055
404987.8125,5015904.5,239.369995117188
404988.125,5015904.5,239.389999389648
404987.8125,5015904.5,239.309997558594
404986.5625,5015904,239.289993286133
404986.75,5015904,239.279998779297
404986.90625,5015904.5,239.309997558594
404987.0625,5015904.5,239.300003051758
404987.25,5015905,239.320007324219
404987.40625,5015905,239.360000610352
404986.59375,5015904.5,239.289993286133
404986.75,5015904.5,239.300003051758
404986.90625,5015905,239.300003051758
404987.09375,5015905,239.320007324219
