Xp,Yp,Zp
404938.875,5015871.5,239.570007324219
404938.65625,5015871.5,239.690002441406
404938.84375,5015871.5,239.610000610352
404939.0625,5015871.5,239.600006103516
404938.84375,5015871.5,239.550003051758
404939.03125,5015871.5,239.589996337891
404939.0625,5015871.5,239.580001831055
404939.09375,5015871.5,239.619995117188
404938.90625,5015872,239.580001831055
404938.84375,5015871.5,239.619995117188
404939.03125,5015871.5,239.660003662109
404938.71875,5015871.5,239.570007324219
404938.90625,5015872,239.619995117188
404939.0625,5015872,239.649993896484
404939,5015871.5,239.639999389648
404938.9375,5015872,239.619995117188
404938.75,5015871.5,239.589996337891
