Xp,Yp,Zp
404957.90625,5015002,233.949996948242
404957.6875,5015002.5,233.990005493164
404957.90625,5015002.5,233.949996948242
404958.09375,5015002.5,233.910003662109
404958.34375,5015003,233.979995727539
404957.625,5015002.5,234
404957.84375,5015002.5,233.949996948242
404958.0625,5015003,233.919998168945
404958.3125,5015003,234.029998779297
404957.5625,5015003,233.970001220703
404958.0625,5015003,235.059997558594
404957.75,5015003,233.960006713867
404958.25,5015003,234.979995727539
404957.96875,5015003,233.910003662109
404958.1875,5015003,233.970001220703
404958.4375,5015003.5,234.139999389648
404958.375,5015003.5,234.029998779297
404957.625,5015003,233.990005493164
404958.15625,5015003,233.949996948242
404957.875,5015002.5,233.990005493164
404957.9375,5015002.5,234
404957.6875,5015002.5,234
404958.34375,5015003.5,234
404958.125,5015003,233.929992675781
404957.875,5015003,233.970001220703
404957.625,5015003,233.960006713867
404958.4375,5015003.5,233.970001220703
404958.1875,5015003,233.910003662109
404957.9375,5015003,233.889999389648
404957.65625,5015003,233.910003662109
404957.84375,5015002,233.940002441406
404957.625,5015002,233.949996948242
404957.71875,5015002,233.970001220703
404958.25,5015003,234.020004272461
404958.0625,5015003,234.039993286133
404957.84375,5015002.5,234.050003051758
404957.625,5015002.5,234.100006103516
404957.78125,5015003,234.119995117188
404957.5625,5015003,234.139999389648
404957.71875,5015003,234.089996337891
404958.5,5015003.5,233.970001220703
404958.09375,5015003,234.029998779297
404957.90625,5015003,234.020004272461
404957.6875,5015002.5,234.050003051758
