Xp,Yp,Zp
405058.78125,5015114,234.820007324219
405058.40625,5015114.5,235.240005493164
405058.59375,5015114.5,235
405057.1875,5015114,234.979995727539
405058.1875,5015115,235.100006103516
405058.375,5015115,235.190002441406
405058.53125,5015115,234.940002441406
405057.1875,5015114,234.970001220703
405058.375,5015115,235.229995727539
405057.125,5015114.5,234.979995727539
405058.3125,5015115,235.300003051758
405056.90625,5015115,234.919998168945
405057.125,5015115,234.940002441406
405057.3125,5015115,234.949996948242
405057.53125,5015115.5,234.970001220703
405057.71875,5015115.5,234.990005493164
405057.90625,5015115.5,235.009994506836
405058.1875,5015115.5,236.149993896484
405058.09375,5015115.5,235.039993286133
405056.90625,5015115.5,234.899993896484
405057.125,5015115.5,234.899993896484
405057.875,5015116,234.839996337891
405058.09375,5015116.5,234.800003051758
405057.75,5015116.5,234.850006103516
405057.9375,5015116.5,234.820007324219
405058.125,5015116.5,234.770004272461
405056.90625,5015116,234.929992675781
405057.875,5015116.5,234.820007324219
405058.0625,5015116.5,234.770004272461
405057.78125,5015117,234.809997558594
405057.96875,5015117,234.779998779297
405057.71875,5015117,234.820007324219
405057.90625,5015117,234.789993286133
405057.875,5015117,234.809997558594
405057.75,5015117.5,234.869995117188
405057.65625,5015118,234.970001220703
405057.3125,5015118,234.970001220703
405057.5,5015118,234.979995727539
405057.6875,5015118,234.979995727539
405055.96875,5015118,234.899993896484
405056.15625,5015118,234.880004882812
405056.34375,5015118,234.910003662109
405056.53125,5015118,234.960006713867
405056.71875,5015118.5,234.970001220703
405056.90625,5015118.5,234.949996948242
405057.125,5015118.5,234.970001220703
405057.3125,5015119,234.960006713867
405055.40625,5015118,235
405055.59375,5015118.5,235
405055.78125,5015118.5,235
405055.96875,5015118.5,234.960006713867
405056.15625,5015118.5,234.949996948242
405056.375,5015119,234.949996948242
405056.5625,5015119,234.910003662109
405056.75,5015119,234.940002441406
405056.9375,5015119.5,234.970001220703
405057.125,5015119.5,234.960006713867
405056.21875,5015119,234.960006713867
405056.375,5015119,234.970001220703
405056.59375,5015119,234.910003662109
405056.78125,5015119,234.940002441406
405056.96875,5015119.5,234.960006713867
405057.1875,5015119.5,235.009994506836
405055.46875,5015118.5,234.960006713867
405055.65625,5015118.5,235.009994506836
405055.875,5015118.5,234.970001220703
405056.0625,5015118.5,234.960006713867
405056.25,5015119,234.990005493164
405056.4375,5015119,234.960006713867
405056.625,5015119,234.929992675781
405056.8125,5015119.5,234.940002441406
405057.03125,5015119.5,234.970001220703
405057.21875,5015119.5,234.990005493164
405055.375,5015118.5,234.970001220703
405055.96875,5015119,234.979995727539
405056.53125,5015119.5,234.949996948242
405056.71875,5015119.5,234.979995727539
405056.90625,5015120,235.009994506836
405057.125,5015120,235.009994506836
405055.4375,5015118,234.979995727539
405055.625,5015118.5,235.009994506836
405055.84375,5015118.5,234.970001220703
405056,5015118.5,234.949996948242
405055.15625,5015119,234.919998168945
405056.90625,5015120.5,234.990005493164
405056.84375,5015120.5,235.009994506836
405056.9375,5015120.5,234.990005493164
405056.78125,5015121,235.050003051758
405056.5625,5015121.5,235.050003051758
405057.09375,5015115,234.649993896484
405057.3125,5015115.5,234.610000610352
405056.875,5015116,234.729995727539
405056.40625,5015119,234.649993896484
405058.75,5015114,234.720001220703
405058.75,5015114,234.710006713867
405058.78125,5015114,234.710006713867
405057.25,5015114,234.720001220703
405057.75,5015115.5,234.660003662109
405057.375,5015115,234.710006713867
405057.15625,5015115,234.729995727539
405057.21875,5015114.5,234.729995727539
405058.3125,5015115.5,234.669998168945
405058.125,5015115.5,234.679992675781
405057.09375,5015114.5,234.75
405057.125,5015115.5,234.75
405056.90625,5015115.5,234.759994506836
405057.21875,5015114.5,234.740005493164
405057.03125,5015114.5,234.759994506836
405056.875,5015116,234.720001220703
405057.375,5015115.5,234.669998168945
405057.1875,5015115.5,234.720001220703
405057,5015115,234.729995727539
405057.03125,5015115.5,234.740005493164
405055.5,5015118,234.960006713867
405056.90625,5015119,234.699996948242
405056.6875,5015119,234.740005493164
405056.46875,5015119,234.770004272461
405056.28125,5015118.5,234.830001831055
405056.09375,5015118.5,234.940002441406
405055.875,5015118,234.970001220703
405056.03125,5015117.5,235.080001831055
405056.96875,5015118,234.740005493164
405057,5015118.5,234.679992675781
405056.84375,5015118.5,234.759994506836
405056.625,5015118.5,234.850006103516
405056.4375,5015118,234.940002441406
405056.21875,5015118,235.029998779297
405056.03125,5015117.5,235.119995117188
405055.625,5015117.5,234.970001220703
405056.875,5015119,234.770004272461
405056.6875,5015119,234.779998779297
405056.46875,5015118.5,234.789993286133
405056.28125,5015118.5,234.860000610352
405056.09375,5015118.5,234.910003662109
405055.90625,5015118,234.949996948242
405055.9375,5015119,234.759994506836
405055.34375,5015118.5,234.839996337891
405055.40625,5015119,234.800003051758
405055.21875,5015119,234.830001831055
405055.625,5015118.5,234.820007324219
405055.40625,5015118.5,234.850006103516
405056.875,5015119.5,234.729995727539
405056.65625,5015119,234.740005493164
405056.46875,5015119,234.759994506836
405056.28125,5015118.5,234.809997558594
405056.0625,5015118.5,234.869995117188
405055.875,5015118.5,234.919998168945
405055.46875,5015118,234.929992675781
405055.84375,5015119,234.800003051758
