Xp,Yp,Zp
405128.3125,5015405,236.429992675781
405128.09375,5015405,236.490005493164
405127.84375,5015405,236.520004272461
405127.5625,5015404.5,236.490005493164
405127.8125,5015405,238.850006103516
405128.15625,5015405,236.429992675781
405127.9375,5015405,236.509994506836
405127.6875,5015405,236.449996948242
405127.84375,5015405,237.850006103516
405127.40625,5015404.5,236.440002441406
405127.875,5015405,238.740005493164
405127.6875,5015405,239.020004272461
405128.8125,5015404.5,236.539993286133
405128.59375,5015404.5,236.570007324219
405128.34375,5015404,236.570007324219
405128.125,5015404,236.669998168945
405127.8125,5015404,236.570007324219
405127.53125,5015404,236.550003051758
405128.53125,5015404,236.360000610352
405127.34375,5015404,236.460006713867
405127.5625,5015404,236.509994506836
405127.78125,5015404,236.460006713867
405127.96875,5015404,236.529998779297
405128.1875,5015404.5,236.429992675781
405128.40625,5015404.5,236.449996948242
405128.625,5015404.5,236.449996948242
405128.8125,5015404.5,236.460006713867
405127.28125,5015404,236.490005493164
405127.5,5015404,236.520004272461
405127.75,5015404,236.399993896484
405127.9375,5015404.5,236.440002441406
405128.15625,5015404.5,236.389999389648
405128.375,5015404.5,236.399993896484
405128.59375,5015404.5,236.419998168945
405128.78125,5015405,236.410003662109
405126.875,5015404,236.5
405127.3125,5015404,236.410003662109
405127.5,5015404,236.410003662109
405127.71875,5015404.5,236.419998168945
405127.9375,5015404.5,236.399993896484
405128.15625,5015404.5,236.410003662109
405128.34375,5015404.5,236.389999389648
405128.5625,5015405,236.369995117188
405128.78125,5015405,236.389999389648
405126.875,5015404,239.360000610352
405127.5625,5015404.5,236.520004272461
405127.75,5015405,236.550003051758
405127.96875,5015405,236.630004882812
405127.875,5015405,238.470001220703
405128.21875,5015405,236.449996948242
405128.09375,5015405,238.300003051758
405127.375,5015404,236.440002441406
405128.0625,5015404.5,236.559997558594
405128.625,5015405,236.570007324219
405128.4375,5015405,236.559997558594
405128.25,5015404.5,236.509994506836
405128.03125,5015404.5,236.5
405127.84375,5015404.5,236.460006713867
405127.625,5015404,236.429992675781
405127.40625,5015404,236.389999389648
405128.875,5015404.5,236.289993286133
405128.65625,5015404,236.270004272461
405128.46875,5015404,236.270004272461
405128.875,5015404.5,236.360000610352
405128.6875,5015404.5,236.309997558594
405128.46875,5015404,236.259994506836
