Xp,Yp,Zp
405053.9375,5015892.5,239.050003051758
405055.21875,5015894,239.190002441406
405055,5015894,239.100006103516
405054.78125,5015894,239.009994506836
405054.5625,5015893.5,239
405054.34375,5015893.5,238.990005493164
405054.125,5015893.5,239.050003051758
405053.6875,5015893,239.100006103516
405053.46875,5015893,239.139999389648
405054.65625,5015894.5,239.020004272461
405054.40625,5015894.5,238.880004882812
405054.21875,5015894,238.910003662109
405054,5015894,239.020004272461
405053.8125,5015894,239.100006103516
405053.59375,5015894,239.160003662109
405053.375,5015893.5,239.179992675781
405055.03125,5015894,239.089996337891
405054.8125,5015894,238.970001220703
405054.5625,5015894,238.910003662109
405054.375,5015894,238.970001220703
405054.125,5015893.5,239.029998779297
405053.90625,5015893.5,239.039993286133
405053.6875,5015893.5,239.100006103516
405053.5,5015893.5,239.130004882812
405054.875,5015894,239.029998779297
405054.625,5015894,238.880004882812
405054.4375,5015894,238.910003662109
405054.21875,5015894,238.990005493164
405054.03125,5015893.5,239.039993286133
405053.8125,5015893.5,239.100006103516
405053.59375,5015893.5,239.149993896484
405053.375,5015893.5,239.179992675781
405055.125,5015894,238.919998168945
405054.5625,5015894,238.800003051758
405054.21875,5015893.5,238.889999389648
405053.71875,5015893.5,238.839996337891
405053.34375,5015893.5,238.860000610352
405053.5,5015892.5,239.149993896484
405053.65625,5015892.5,239.110000610352
405054.3125,5015893.5,239.100006103516
405054.46875,5015893.5,239.080001831055
405054.625,5015894,239.059997558594
405054.8125,5015894,239.059997558594
405053.0625,5015894,239.229995727539
405053.21875,5015894,239.229995727539
405053.25,5015894,239.220001220703
405053.40625,5015894,239.199996948242
405054.28125,5015894.5,238.990005493164
405054.4375,5015894.5,238.940002441406
405053.4375,5015893.5,239.149993896484
405053.625,5015893.5,239.130004882812
405053.78125,5015894,239.110000610352
405053.9375,5015894,239.110000610352
405053.125,5015894,239.220001220703
405053.28125,5015894,239.210006713867
405053.4375,5015894,239.179992675781
