Xp,Yp,Zp
404933.4375,5015937,239.710006713867
404933.1875,5015937,239.710006713867
404933.40625,5015937,239.710006713867
404933.5625,5015937,239.669998168945
404933.1875,5015937,239.720001220703
404933.40625,5015937,239.729995727539
404933.1875,5015937,239.759994506836
404933.09375,5015937,239.649993896484
404933.28125,5015937,239.690002441406
404933.5,5015937,239.690002441406
404933.28125,5015937,239.660003662109
404933.53125,5015937,239.669998168945
404933.15625,5015937,239.75
404933.3125,5015937,239.740005493164
404933.5,5015937,239.75
404933.1875,5015937,239.75
404933.15625,5015937,239.759994506836
