Xp,Yp,Zp
405107.09375,5015005,233.139999389648
405107.28125,5015005,233.149993896484
405107.5,5015005.5,233.160003662109
405107.6875,5015005.5,233.199996948242
405107.90625,5015005.5,233.199996948242
405108.09375,5015006,233.190002441406
405108.3125,5015006,233.210006713867
405107,5015004.5,233.169998168945
405107.15625,5015004.5,233.160003662109
405107.375,5015004.5,233.160003662109
405107.59375,5015005,233.229995727539
405107.8125,5015005,233.220001220703
405108,5015005,233.199996948242
405107.78125,5015004,233.220001220703
405108,5015004,233.169998168945
405107.3125,5015004,233.240005493164
405107.53125,5015004,233.220001220703
405107.71875,5015004,233.210006713867
405107.9375,5015004,233.190002441406
405107.84375,5015004,233.190002441406
405106.25,5015006,233.160003662109
405106.4375,5015006,233.169998168945
405106.625,5015006,233.169998168945
405106.84375,5015006,233.169998168945
405107.0625,5015006.5,233.179992675781
405107.25,5015006.5,233.169998168945
405107.4375,5015006.5,233.179992675781
405106.09375,5015006,233.139999389648
405106.28125,5015006,233.169998168945
405106.5,5015006,233.169998168945
405106.6875,5015006.5,233.190002441406
405106.90625,5015006.5,233.199996948242
405107.09375,5015006.5,233.199996948242
405107.3125,5015006.5,233.199996948242
405107.5,5015007,233.179992675781
405107.71875,5015007,233.220001220703
405108.53125,5015007.5,233.210006713867
405106.9375,5015006,233.190002441406
405107.125,5015006,233.199996948242
405107.34375,5015006,233.210006713867
405107.5625,5015006,233.210006713867
405107.75,5015006.5,233.220001220703
405107.9375,5015006.5,233.220001220703
405108.15625,5015006.5,233.210006713867
405108.34375,5015007,233.190002441406
405107.09375,5015005,233.149993896484
405107.28125,5015005,233.160003662109
405107.5,5015005,233.199996948242
405107.6875,5015005.5,233.199996948242
405107.90625,5015005.5,233.210006713867
405107.0625,5015005,233.139999389648
405107.28125,5015005,233.190002441406
405107.46875,5015005,233.210006713867
405107.65625,5015005,233.179992675781
405107.875,5015005.5,233.199996948242
405107.15625,5015008,233.210006713867
405107.375,5015008,233.210006713867
405107.5625,5015008,233.210006713867
405107.75,5015008.5,233.199996948242
405107.9375,5015008.5,233.190002441406
405108.15625,5015008.5,233.179992675781
405108.375,5015008.5,233.179992675781
405106.125,5015006,233.160003662109
405106.53125,5015006.5,233.169998168945
405106.75,5015006.5,233.190002441406
405106.9375,5015007,233.190002441406
405107.125,5015007,233.210006713867
405107.34375,5015007,233.199996948242
405107.53125,5015007,233.190002441406
405107.75,5015007.5,233.179992675781
405108.34375,5015007.5,233.229995727539
405106.71875,5015006,233.169998168945
405106.90625,5015006,233.169998168945
405107.125,5015006,233.169998168945
405107.34375,5015006.5,233.179992675781
405107.53125,5015006.5,233.169998168945
405107.9375,5015007,233.220001220703
405108.125,5015007,233.179992675781
405108.34375,5015009,233.179992675781
405108.53125,5015009,233.149993896484
405106.96875,5015007.5,233.199996948242
405107.1875,5015007.5,233.199996948242
405107.375,5015008,233.210006713867
405107.59375,5015008,233.199996948242
405107.78125,5015008,233.190002441406
405108,5015008,233.179992675781
405108.1875,5015008.5,233.169998168945
405107.03125,5015008,233.190002441406
405107.25,5015008,233.190002441406
405107.4375,5015008,233.210006713867
405107.65625,5015008.5,233.199996948242
405107.84375,5015008.5,233.190002441406
405108.0625,5015008.5,233.190002441406
405108.25,5015008.5,233.169998168945
405108.4375,5015009,233.179992675781
405108.21875,5015010,233.199996948242
405108.40625,5015010.5,233.190002441406
405108.625,5015010.5,233.210006713867
405108.8125,5015010.5,233.179992675781
405107.6875,5015009.5,233.210006713867
405107.90625,5015009.5,233.220001220703
405108.125,5015010,233.220001220703
405108.3125,5015010,233.210006713867
405108.53125,5015010,233.210006713867
405108.71875,5015010,233.199996948242
405108.90625,5015010.5,233.179992675781
405107.125,5015008,233.190002441406
405107.34375,5015008.5,233.199996948242
405107.53125,5015008.5,233.199996948242
405107.75,5015008.5,233.210006713867
405107.9375,5015009,233.199996948242
405108.15625,5015009,233.190002441406
405107.71875,5015009.5,233.210006713867
405107.90625,5015010,233.210006713867
405108.125,5015010,233.210006713867
405108.34375,5015010,233.210006713867
405108.53125,5015010,233.190002441406
405108.71875,5015010.5,233.190002441406
405108.90625,5015010.5,233.179992675781
405107.625,5015010,233.199996948242
405107.84375,5015010,233.199996948242
405108.03125,5015010,233.199996948242
405106.9375,5015010.5,233.350006103516
405107.125,5015010.5,233.289993286133
405107.34375,5015010.5,233.25
405107.5,5015010.5,233.220001220703
405107.71875,5015011,233.220001220703
405107.90625,5015011,233.210006713867
405108.125,5015011,233.199996948242
