Xp,Yp,Zp
405108.375,5015327,236.960006713867
405108.75,5015326.5,236.179992675781
405108.75,5015326.5,236.229995727539
405108.125,5015327,236.899993896484
405108.1875,5015327,236.210006713867
405108.34375,5015327,236.910003662109
405108.40625,5015327,236.169998168945
405108.5625,5015327,236.229995727539
405107.90625,5015327,236.139999389648
405108.09375,5015327,236.130004882812
405107.84375,5015327,236.130004882812
405108.03125,5015327,236.119995117188
405107.90625,5015327,236.429992675781
405107.9375,5015327,236.479995727539
405108.4375,5015327,236.490005493164
405108.625,5015327,236.419998168945
405108.4375,5015327,236.509994506836
405108.25,5015327,236.460006713867
405107.96875,5015327,236.490005493164
