x,y,h
405467.15,5015050.9,16.71172
405449.53,5015036.27,16.10145
405444.55,5015032.82,16.63793
405427.18,5015023.49,15.46276
405438.8,5015025.15,16.13642
405426.98,5015018.38,14.95692
405432.12,5015019.65,15.76834
405473.82,5015042.62,14.85107
405442.71,5015022.1,16.58047
405435.57,5015019.14,14.38742
405420.03,5015006.31,21.74105
405451.56,5015023.47,15.50661
405440.46,5015014.37,16.68733
405429.91,5015007.61,19.99905
405451.61,5015018.3,15.0274
405481.54,5015033.78,13.24447
405427.4,5015002.23,21.4775
405469.75,5015022.33,14.85616
405450.03,5015012.1,17.19421
405473.3,5015024.9,15.04653
405448.86,5015000.76,16.30755
405462.72,5015005.99,15.73602
405480.16,5015008.18,19.65924
405482.57,5015001.54,16.45652
405297.65,5015259.15,17.73653
405293.69,5015255.2,14.48312
405303.98,5015259.05,16.9742
405283.35,5015244.78,0.9622076
405295.91,5015240.65,10.54159
405309.44,5015229,6.149072
405302.75,5015211.72,16.83893
405303.35,5015250.52,20.18679
405322.83,5015259.87,9.25841
405316.57,5015254.37,7.515011
405322.06,5015252.74,7.682786
405313.6,5015244.69,9.952856
405324.87,5015245.19,8.706076
405319.93,5015241.89,8.776711
405328.01,5015239.72,9.158866
405321.71,5015232.43,7.557995
405331.45,5015236.56,7.284877
405322.47,5015227.71,7.228552
405328.58,5015227.1,7.332338
405324.06,5015223.33,7.771759
405330.67,5015220.1,7.834247
405326.45,5015217.53,7.355327
405327.16,5015211.8,7.375677
405333.96,5015214.65,7.296609
405332.96,5015208.35,7.337742
405333.63,5015201.75,4.51757
405337.34,5015201.76,6.910604
405268.38,5015320.14,11.08749
405258.26,5015314.22,13.79696
405254.85,5015309.67,16.20073
405260.56,5015308.25,17.22521
405273.24,5015307,11.11403
405300.49,5015313.92,14.92591
405307.61,5015311.62,8.325373
405277.12,5015295.27,12.81216
405282.5,5015298.44,15.46737
405269.65,5015289.68,10.38689
405275.01,5015288.78,8.97226
405270.7,5015283.91,9.484566
405290.15,5015293.85,13.05289
405282.27,5015289.18,8.233423
405276.91,5015285.02,6.353686
405308.92,5015301.09,9.507372
405292.85,5015289.63,15.24785
405307.49,5015293.59,9.030471
405273.28,5015275.11,13.11963
405301.5,5015289.94,10.79858
405307.51,5015288.94,9.030848
405276.82,5015267.34,13.78366
405308.45,5015283.82,8.0974
405283.8,5015264.01,0.7254505
405299.24,5015272.2,17.28292
405300.8,5015265.2,16.22385
405313.41,5015317.83,1.241693
405311.47,5015307.4,8.633471
405314.02,5015303.33,8.384185
405313,5015290.13,8.030216
405315.59,5015292.86,8.060908
405316.93,5015284.77,10.85592
405311.64,5015276.39,8.996586
405320.68,5015267.54,10.1861
405231.12,5015339.43,0.3477045
405236.85,5015360.26,14.60559
405240.56,5015361.48,8.119675
405226.77,5015360.56,9.348232
405245.51,5015376.77,11.83172
405236.74,5015373.19,8.20278
405215.84,5015362.81,0.5074634
405232.05,5015379.63,8.430317
405239.56,5015383.35,6.991853
405225.04,5015379.02,12.3472
405222.01,5015381.76,10.42684
405233.29,5015392.71,5.084085
405186.24,5015448.5,0.2815497
405180.83,5015438.45,0.8040051
405187.18,5015437.22,0.8814758
405180.68,5015432.54,0.6099377
405192.42,5015437.41,0.5839233
405203.74,5015442.25,3.488315
405212.76,5015441.91,12.39223
405206.41,5015437.64,5.424212
405211.63,5015434.79,18.71173
405205.87,5015430.67,7.680951
405217.61,5015436.58,12.46126
405245.02,5015444.93,4.201266
405219.97,5015431.74,11.16359
405227.32,5015430.04,2.902001
405236.54,5015435.14,3.460203
405220.25,5015422.09,2.149142
405224.68,5015423.13,3.473393
405236.26,5015426.79,3.394167
405243,5015427.66,4.488979
405226.66,5015416.04,8.366487
405239.53,5015420.61,3.44742
405229.88,5015412.23,3.36655
405242.96,5015419.61,3.041808
405240.25,5015396.78,4.771184
405233.12,5015399.43,9.079098
405238.35,5015401.96,4.352829
405233.04,5015406.85,4.653703
405242.24,5015411.46,5.34403
405218.46,5015403.09,21.4034
405247.39,5015388.51,5.351691
405253.98,5015392.43,5.928103
405265.9,5015393.35,7.339135
405249.27,5015380.91,6.535326
405262.54,5015387.92,6.112041
